Team Name,blomgram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Project Name,Beevia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported By,Victor Peynado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,17/Aug/2026 09:12 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter,Sprints Contains 08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item Id,Item Name,Description,Created On,Sprint,Created by,Tags,Completed On,Assignee,Status,Epic,Item Type,Priority,Start Date,End Date,Start After,Duration,Estimation Points,Release,Total Workhours,Work hours per owner,Work hours type,Parent Id,Sprint Type,Sprint Start Date,Sprint End Date,Comments,Created Time,Last Modified,Blocked by,Blocked On
BVA-I168,Anchor Customer & Virtual Account Creation Integration,"Asa Chat + Banking user completing onboarding, I want my Naira virtual account toactually be created with our licensed banking partner, so I can fund it and useit Acceptance Criteria● Backend integrates Anchor's customer/KYCsubmission and virtual account creation endpoints per Anchor's developeronboarding documentation● BVN/KYC data already collected duringonboarding is submitted to Anchor to create a real customer record and virtualNGN account● Handle Anchor's account-creation flowcorrectly whether it's instant or async/webhook-based● Real account number, account name, and bankname are returned and stored, replacing any placeholder data● Error handling for Anchor-side KYC rejectionor duplicate customer",11/Aug/2026 12:46 PM,08-01,Fortune Okwu,,,Unassigned,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:46 PM,11/Aug/2026,,
BVA-I169,Anchor Integration,Integrate Anchor's customer and virtualaccount creation APIs.,11/Aug/2026 12:47 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I168,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:47 PM,11/Aug/2026,,
BVA-I170,Wire Real Response into Wallet Screen,Replace placeholder wallet-ready data with thereal Anchor response.,11/Aug/2026 12:47 PM,08-01,Fortune Okwu,,,David Samuel,BLOCKED,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I168,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:47 PM,13/Aug/2026,,
BVA-I171,Correct Bank Name Display,Update the Wallet Ready confirmation screen toshow the real partner name instead of the placeholder.,11/Aug/2026 12:48 PM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I168,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:48 PM,11/Aug/2026,,
BVA-I172,Add Money - Bank Transfer,"Asa user, I want to fund my wallet by transferring to my dedicated virtualaccount number, so I can top up my balanceAcceptance Criteria● Build the existing Add Money → Bank Transferscreens (method selection, account details display, copy/share)● Backend receives and processes Anchor'swebhook when an incoming transfer lands, credits the wallet, and triggers auser notification",11/Aug/2026 12:50 PM,08-01,Fortune Okwu,,,"Philip Chidera, David Samuel, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:50 PM,11/Aug/2026,,
BVA-I173,Incoming Transfer Webhook Handling,"Handle Anchor's transfer-received webhook,credit the wallet, and notify the user.",11/Aug/2026 12:50 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I172,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:50 PM,11/Aug/2026,,
BVA-I174,Add Money (Bank Transfer) Screens,Build the existing bank transfer fundingscreens and make it functional,11/Aug/2026 12:51 PM,08-01,Fortune Okwu,,,David Samuel,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I172,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:51 PM,11/Aug/2026,,
BVA-I175,Missing Confirmation States,Design the pending/waiting state and thesuccess confirmation state.,11/Aug/2026 12:51 PM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I172,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:51 PM,11/Aug/2026,,
BVA-I176,In-Chat Send Money (Free-Will Send),"Asa user, I want to send money to the person I'm chatting with by just enteringan amount, since we're already in conversation, I shouldn't have to pick arecipient again.Acceptance Criteria● The ""+"" attachment menu's ""Sendmoney"" option opens directly to amount entry, recipient is automaticallythe person you're chatting with, no recipient picker shown● Includes an optional, editable transfernarration field ● This is a free-will send (not fulfilling arequest), therefore it ALWAYS enters the pending accept/declinestate after sending. It never auto-credits.● Sender sees a pending/awaiting-response cardin the thread; once the recipient accepts, it updates to show adownload-receipt action",11/Aug/2026 12:57 PM,08-01,Fortune Okwu,,,"Philip Chidera, David Samuel, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:57 PM,11/Aug/2026,,
BVA-I177,In-Chat Send Money (Free-Will),"Build the simplified send action reachablefrom a conversation context, entering the pending-transfer system.",11/Aug/2026 12:58 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I176,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 12:58 PM,11/Aug/2026,,
BVA-I178,Send Flow (Amount -> Narration -> PIN/Biometric Confirm),"Build the existing amount-entry andPIN/biometric-confirm screens per the designs, including the new narrationfield.",11/Aug/2026 01:08 PM,08-01,Fortune Okwu,,,David Samuel,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I176,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:08 PM,11/Aug/2026,,
BVA-I179,Add Narration Field,Add an editable transfer narration field tothe existing Send Money sheet.,11/Aug/2026 01:09 PM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I176,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:09 PM,11/Aug/2026,,
BVA-I180,In-Chat Request Money,"Asa user, I want to request money from the person I'm chatting with, and havethem see an interactive card they can fulfill, reject, or ignore.Acceptance Criteria● The ""+"" attachment menu's""Request money"" option opens a sheet: amount + optional reason, witha fixed 48-hour request expiry shown● The recipient sees the request card withReject / Send actions ● Tapping Send opens a pre-filled Send Paymentsheet: the requester's reason auto-fills as an EDITABLE transfer narration,amount is editable● If the fulfiller sends the EXACT requestedamount: the transfer auto-credits immediately, no accept/decline step, matchesthe existing Sent/Received card design● If the fulfiller sends a DIFFERENT amount(more or less): the transfer enters the pending accept/decline state (Ticket: Pending Transfer Accept/Decline & Auto-Refund System) instead of auto-crediting ● If the original requester taps Reject on therequest itself, or the request goes unfulfilled for 48 hours, it shows Declined/ Expired respectively ● REINITIATE: an expired request shows arefresh-style ""Send request again"" action. Tapping it creates abrand-new request (new 48-hour timer) posted as a new card at the bottom of theconversation, it does NOT update the old expired card in place● A requester can cancel their own still-openrequest ● Any successfully completed transfer(auto-credited or accepted) shows a download-receipt action",11/Aug/2026 01:14 PM,08-01,Fortune Okwu,,,"Philip Chidera, David Samuel, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:14 PM,11/Aug/2026,,
BVA-I181,In-Chat Request Money & Fulfillment Logic,"Build the request-money action, the 48-hourrequest expiry, exact-vs-mismatched fulfillment branching (auto-credit vs.routing into the Pending Transfer Accept/Decline & Auto-Refund System), and the reinitiate as new requestbehavior.",11/Aug/2026 01:15 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I180,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:15 PM,11/Aug/2026,,
BVA-I182,In-Chat Request Flow & Cards,"Wire the attachment-menu entry point, therequest card and its states (open/declined/expired), the pre-filled fulfillmentsheet with editable narration, and the reinitiate action posting a new card.",11/Aug/2026 01:15 PM,08-01,Fortune Okwu,,,David Samuel,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I180,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:15 PM,11/Aug/2026,,
BVA-I183,New Card States & Narration Field,"The existing Money Request card design(Send/Received/Declined/Expired) covers the exact-match path., extend it withthe fulfillment sheet's editable narration field (pre-filled from the requestreason) and hand off to Pending Transfer Accept/Decline & Auto-Refund System story for the new pending/mismatched-amount card state.",11/Aug/2026 01:17 PM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I180,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:17 PM,11/Aug/2026,,
BVA-I184,Wallets Tab (Chat + Banking Users),"Asa Chat + Banking user, I want a dedicated Wallets tab showing my balance, quickactions, virtual card, and recent transactions, so wallet management has aclear home in the app.Acceptance Criteria● Build per the attached Wallet screen design:balance display, Send/Request/Add Money quick actions, virtual card preview,recent transactions list● this tab is not shown to Chat Onlyusers at all the bottom nav for Chat Only users has 3 tabs (no Wallets), not4",11/Aug/2026 01:19 PM,08-01,Fortune Okwu,,,"Philip Chidera, David Samuel, Ayomikun Araoye",REVIEW/QA,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:19 PM,14/Aug/2026,,
BVA-I185,Wallet Summary Endpoint,"Build the endpoint aggregating balance, cardpreview data, and recent transactions.",11/Aug/2026 01:19 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,REVIEW/QA,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I184,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:19 PM,14/Aug/2026,,
BVA-I187,Send Money to Another Beevia User (P2P),"Asa user, I want to send money directly to another Beevia user from my Walletstab, searching by name, username, or phone.Acceptance Criteria● Build per the attached Send Money screens:recipient picker (search + recent recipients + contacts), amount entry, review,PIN/biometric confirm",11/Aug/2026 01:28 PM,08-01,Fortune Okwu,,,"Philip Chidera, David Samuel, Ayomikun Araoye",In progress,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:28 PM,17/Aug/2026,,
BVA-I188,P2P Transfer,Build the internal (Beevia-to-Beevia) transferlogic and ledger update.,11/Aug/2026 01:29 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I187,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:29 PM,17/Aug/2026,,
BVA-I189,Send Money (P2P) Screens,Build the full flow per the existing designs.,11/Aug/2026 01:29 PM,08-01,Fortune Okwu,,,David Samuel,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I187,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:29 PM,14/Aug/2026,,
BVA-I190,External Bank Transfer - Screens,"Asa user, I want to send money out of Beevia to an external bank account, so Ican move money to accounts outside the app.Acceptance Criteria● Recipient bank selection + account numberentry● Account name verification/resolution againstthe entered bank + account number before allowing the transfer● Amount entry, review, and PIN/biometricconfirm screens, consistent with the existing send-money flow● Success and failure states",11/Aug/2026 01:31 PM,08-01,Fortune Okwu,,12/Aug/2026 05:00 PM,Philip Chidera,Done,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:31 PM,12/Aug/2026,,
BVA-I191,External Transfer Flow,"Design the complete external bank transferflow, prioritized ahead of other design work this sprint.",11/Aug/2026 01:32 PM,08-01,Fortune Okwu,,12/Aug/2026 05:00 PM,Philip Chidera,Done,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I190,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:32 PM,12/Aug/2026,,
BVA-I192,External Bank Transfer - Build,"Asa user, once the screens exist, I want to actually be able to send money to anexternal bank account.Acceptance Criteria● Implement the external transfer flow per designs once available",11/Aug/2026 01:33 PM,08-01,Fortune Okwu,,,"David Samuel, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:33 PM,11/Aug/2026,,
BVA-I194,External Transfer Screens,Build and implement the flow once external transfer screen designs are ready.,11/Aug/2026 01:37 PM,08-01,Fortune Okwu,,,David Samuel,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I192,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:37 PM,17/Aug/2026,,
BVA-I193,Anchor Payout/Transfer-Out Integration,Integrate Anchor's payout API for transfers toexternal bank accounts.,11/Aug/2026 01:34 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I192,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:34 PM,11/Aug/2026,,
BVA-I196,Virtual Card Issuance (Anchor),"Asa Chat + Banking user, I want a virtual VISA card tied to my wallet, so I canmake online purchases.Acceptance Criteria● Backend integrates Anchor's card issuance API● Card preview shown on the Wallets tab, per theexisting design",11/Aug/2026 01:40 PM,08-01,Fortune Okwu,,,"David Samuel, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:40 PM,11/Aug/2026,,
BVA-I197,Card Issuance Integration,Integrate Anchor's virtual card issuance API.,11/Aug/2026 01:40 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I196,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:40 PM,11/Aug/2026,,
BVA-I198,Card Preview UI,Build the card preview on the Wallets tab perthe existing design.,11/Aug/2026 01:40 PM,08-01,Fortune Okwu,,,David Samuel,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I196,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:40 PM,13/Aug/2026,,
BVA-I199,Wallet Transaction History,"Asa user, I want to see my full transaction history from the Wallets tab, notjust the few recent ones shown there.Acceptance Criteria● A full, paginated transaction list, reachablefrom ""See all""",11/Aug/2026 01:42 PM,08-01,Fortune Okwu,,,"David Samuel, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:42 PM,11/Aug/2026,,
BVA-I200,Transaction History Endpoint,Build a paginated transaction historyendpoint.,11/Aug/2026 01:42 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I199,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:42 PM,11/Aug/2026,,
BVA-I201,Transaction History Screen,Build the list screen.,11/Aug/2026 01:42 PM,08-01,Fortune Okwu,,,David Samuel,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I199,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:42 PM,11/Aug/2026,,
BVA-I202,Pending Transfer Accept/Decline & Auto-Refund System,"Asa user receiving money I didn't request (or a mismatched amount against arequest I made), I want the choice to accept or decline it, so money isn'tcredited to my wallet without my say.Acceptance Criteria● the ONLYtransfer type that auto-credits with no confirmation is fulfilling a requestwith the exact requested amount. Every free-will send, and everymismatched-amount request fulfillment, requires the recipient to Accept orDecline● On send, the sender's funds are placed in aheld/reserved state (deducted from available balance, not yet credited to therecipient), not simply left in the sender's spendable balance while pending● The recipient has 24 hours to Accept orDecline● Accept: funds move from held state to therecipient's available balance● Decline, OR no action taken within 24 hours:funds are automatically returned to the sender's available balance● Push notification reminders are sent to therecipient during the 24-hour window prompting them to decide● Once resolved (accepted, declined, orauto-refunded), the in-chat card updates to reflect the outcome, consistentwith the existing Sent/Received/Declined card visual language",11/Aug/2026 01:44 PM,08-01,Fortune Okwu,,,"Philip Chidera, David Samuel, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:44 PM,11/Aug/2026,,
BVA-I203,"Hold/Escrow, Auto-Refund Job & Notifications","Build the fund-holding mechanism, theaccept/decline endpoints, a scheduled job to auto-refund unresolved transfersat 24 hours, and push notification reminders during the window.",11/Aug/2026 01:45 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I202,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 01:45 PM,11/Aug/2026,,
BVA-I204,Pending Transfer Card States,"Build the pending-state card (withtime-remaining indicator) shown to both sender and recipient, and theAccept/Decline actions.",11/Aug/2026 03:14 PM,08-01,Fortune Okwu,,,David Samuel,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I202,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 03:14 PM,11/Aug/2026,,
BVA-I205,Pending/Awaiting-Response Card Design,"Design the new pending state - for both the sender's ""awaiting response"" viewand the recipient's ""Accept/Decline, time remaining"" view.",11/Aug/2026 03:15 PM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I202,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 03:15 PM,11/Aug/2026,,
BVA-I206,Add Money - Debit Card Funding,"Asa user, I want to instantly fund my wallet with a debit card, accepting a 1%fee, for when I need money in my wallet right away.Why This MattersTheinstant-funding alternative to bank transfer, for users who don't want to waitfor a transfer to land.Acceptance Criteria● Card entry MUST use the processor's secure,tokenized SDK/hosted field, not raw form fields collected by this app",11/Aug/2026 03:22 PM,08-01,Fortune Okwu,,,"Philip Chidera, David Samuel, Ayomikun Araoye",In progress,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 03:22 PM,13/Aug/2026,,
BVA-I207,Card Funding Processor Integration,"Integrate the chosen card-funding processorusing its secure tokenization approach, never handling raw card numbersdirectly",11/Aug/2026 03:22 PM,08-01,Fortune Okwu,,,Ayomikun Araoye,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I206,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 03:22 PM,13/Aug/2026,,
BVA-I208,Secure Card Entry UI,Build card entry using the processor'scertified SDK component for funding anchor wallet,11/Aug/2026 03:23 PM,08-01,Fortune Okwu,,,David Samuel,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I206,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 03:23 PM,13/Aug/2026,,
BVA-I209,Redesign Card Entry Screen,Redesign the card entry screen to fit the realprocessor's required UI,11/Aug/2026 03:23 PM,08-01,Fortune Okwu,,,Philip Chidera,In progress,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I206,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 03:23 PM,13/Aug/2026,,
BVA-I210,Onboarding — Language Selection Screen,"Asa new user, I want to choose my preferred language during onboarding, or haveit sensibly defaulted, so the app speaks to me correctly from the start.Acceptance Criteria● New onboarding screen offering the 4 supportedlanguages● Pre-selected based on detected device localewhere supported, user can change it● Selection saves as the app-wide preference viaendpoint",11/Aug/2026 07:11 PM,08-01,Fortune Okwu,,,Unassigned,To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 07:11 PM,11/Aug/2026,,
BVA-I211,Language Selection Screen,Design the onboarding language selectionscreen.,11/Aug/2026 07:11 PM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I210,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 07:11 PM,11/Aug/2026,,
BVA-I213,App-Wide Language Setting (Settings),"Asa user, I want to change my app's language anytime from Settings, not just atonboarding.Acceptance Criteria● A Settings row/screen showing the currentlanguage, opening a selector among the 4 languages● Saves via app-wide preference endpoint● Changing this does not reset any existingper-conversation overrides",11/Aug/2026 07:33 PM,08-01,Fortune Okwu,,,"Philip Chidera, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 07:33 PM,11/Aug/2026,,
BVA-I214,Settings Language Screen,Design the language row/selector withinSettings.,11/Aug/2026 07:34 PM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I213,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 07:34 PM,11/Aug/2026,,
BVA-I215,Per-Conversation Translate Option,"Asa user, I want to override the translation language for just one conversation,without changing my app-wide setting.Acceptance Criteria● The conversation's Actions bottom sheet gets anew ""Translate"" option● Opens a language selector (4 languages plus an""Off"" option to disable translation for that conversationspecifically)● Saves via per-conversation overrideendpoint; overrides the app-wide setting for that conversation only",11/Aug/2026 07:35 PM,08-01,Fortune Okwu,,,"Philip Chidera, Ayomikun Araoye",To do,,Story,None,,,,,0,,00:00/day,00:00,hrs/day,,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 07:35 PM,11/Aug/2026,,
BVA-I216,Translate Action & Picker,Design the Translate entry in the Actionssheet and its language picker.,11/Aug/2026 07:36 PM,08-01,Fortune Okwu,,,Philip Chidera,To do,,Task,None,,,,,0,,00:00/day,00:00,hrs/day,BVA-I215,Start,11/Aug/2026,28/Aug/2026,,11/Aug/2026 07:36 PM,11/Aug/2026,,
